iter	Passed	Remaining
0	4322	4317749
1	6902	3444532
2	9603	3191722
3	12355	3076526
4	14811	2947507
5	17081	2829875
6	19282	2735337
7	21662	2686136
8	24098	2653511
9	26305	2604227
10	28481	2560733
11	31126	2562721
12	33400	2535846
13	35490	2499557
14	37696	2475399
15	39994	2459633
16	42218	2441249
17	44695	2438388
18	47524	2453740
19	49526	2426786
20	51490	2400421
21	53727	2388437
22	55894	2374298
23	57870	2353388
24	60001	2340074
25	61946	2320595
26	64210	2313969
27	67128	2330333
28	70224	2351311
29	73686	2382524
30	76052	2377252
31	78855	2385387
32	81393	2385082
33	83568	2374340
34	86186	2376280
35	88286	2364114
36	90773	2362566
37	92902	2351899
38	95184	2345454
39	97476	2339428
40	100306	2346184
41	102677	2342023
42	105065	2338311
43	107081	2326599
44	109092	2315175
45	111362	2309570
46	113367	2298696
47	115590	2292538
48	118024	2290638
49	120262	2284993
50	122492	2279324
51	124663	2272717
52	127207	2272937
53	129503	2268711
54	131857	2265556
55	134174	2261794
56	136784	2262945
57	139371	2263587
58	141572	2257955
59	143711	2251475
60	145797	2244324
61	148402	2245187
62	150719	2241660
63	153072	2238686
64	155856	2241933
65	158000	2235941
66	160264	2231736
67	162844	2231932
68	164946	2225576
69	167429	2224426
70	170824	2235156
71	173528	2236585
72	176368	2239633
73	178995	2239862
74	181398	2237253
75	184271	2240359
76	186537	2236025
77	189137	2235707
78	191249	2229629
79	194749	2239622
80	197064	2235828
81	199131	2229304
82	201157	2222428
83	203052	2214234
84	204839	2205035
85	206863	2198523
86	208712	2190280
87	210956	2186275
88	213006	2180321
89	215326	2177185
90	217547	2173081
91	219418	2165564
92	221588	2161082
93	224484	2163651
94	227288	2165219
95	230125	2167015
96	233141	2170381
97	235205	2164846
98	237178	2158562
99	239853	2158684
100	242094	2154883
101	244660	2153970
102	246780	2149144
103	249266	2147522
104	251304	2142069
105	253496	2137977
106	255475	2132149
107	257998	2130878
108	260598	2130213
109	263014	2128023
110	265096	2123162
111	267965	2124586
112	270784	2125539
113	273575	2126207
114	275641	2121243
115	277564	2115232
116	279484	2109270
117	281561	2104549
118	284175	2103857
119	286668	2102239
120	289370	2102123
121	291725	2099465
122	294093	2096910
123	296272	2093022
124	298512	2089590
125	300457	2084126
126	302417	2078822
127	304290	2072981
128	306193	2067401
129	308226	2062743
130	310398	2059054
131	312429	2054461
132	314317	2048968
133	316282	2044037
134	318122	2038339
135	320043	2033215
136	322035	2028588
137	324142	2024713
138	326363	2021578
139	328495	2017900
140	330982	2016410
141	333233	2013483
142	335995	2013624
143	338103	2009839
144	340065	2005214
145	342192	2001594
146	344233	1997488
147	346381	1994031
148	348653	1991303
149	350793	1987831
150	352726	1983211
151	354629	1978456
152	356462	1973355
153	358299	1968322
154	360244	1963912
155	362252	1959878
156	364816	1958853
157	366830	1954880
158	368935	1951415
159	370795	1946677
160	372667	1942038
161	374586	1937675
162	376536	1933500
163	378363	1928730
164	380148	1923784
165	381950	1918957
166	383871	1914760
167	385755	1910409
168	387643	1906106
169	389967	1903960
170	391880	1899817
171	393882	1896129
172	395856	1892333
173	398095	1889807
174	400061	1886003
175	402097	1882549
176	403899	1878017
177	405655	1873306
